date,number of daily cases,number of daily deaths
Oct 12  2020,7981,95
Oct 13  2020,12193,108
Oct 14  2020,21200,104
Oct 15  2020,28736,88
Oct 16  2020,23542,178
Oct 17  2020,30431,89
Oct 18  2020,28000,85
Oct 19  2020,12428,146
Oct 20  2020,19208,262
Oct 21  2020,25034,163
Oct 22  2020,39060,162
Oct 23  2020,39445,298
Oct 24  2020,42626,137
Oct 25  2020,48808,116
Oct 26  2020,25123,257
Oct 27  2020,31360,523
Oct 28  2020,34194,244
Oct 29  2020,44705,235
Oct 30  2020,46185,545
Oct 31  2020,33447,223
Nov 01  2020,45258,231
Nov 02  2020,51104,467
Nov 03  2020,35912,906
Nov 04  2020,39880,437
Nov 05  2020,56292,415
Nov 06  2020,58581,880
Nov 07  2020,83324,356
Nov 08  2020,38059,322
Nov 09  2020,20732,548
Nov 10  2020,22632,857
Nov 11  2020,35488,328
Nov 12  2020,32948,425
Nov 13  2020,24147,932
Nov 14  2020,31937,552
Nov 15  2020,27370,500
Nov 16  2020,10645,704
Nov 17  2020,13630,625
Nov 18  2020,26636,677
Nov 19  2020,19848,681
Nov 20  2020,21473,634
Nov 21  2020,16780,390
Nov 22  2020,12347,352
Nov 23  2020,4178,638
Nov 24  2020,8591,592
Nov 25  2020,15280,569
Nov 26  2020,12728,527
Nov 27  2020,11692,581
Nov 28  2020,11806,316
Nov 29  2020,9182,301
Nov 30  2020,3758,509
Dec 01  2020,7585,466
Dec 02  2020,13198,425
Dec 03  2020,11914,439
Dec 04  2020,10530,397
Dec 05  2020,12127,327
Dec 06  2020,10344,287
Dec 07  2020,3201,480
Dec 08  2020,12869,491
Dec 09  2020,13697,403
Dec 10  2020,12904,400
Dec 11  2020,12581,412
Dec 12  2020,13088,314
Dec 13  2020,10823,271
Dec 14  2020,2874,492
Dec 15  2020,10822,428
Dec 16  2020,16531,407
Dec 17  2020,17130,376
Dec 18  2020,14709,374
Dec 19  2020,16484,294
Dec 20  2020,12011,236
Dec 21  2020,5440,456
Dec 22  2020,11069,487
Dec 23  2020,14010,359
Dec 24  2020,20302,373
Dec 25  2020,19015,242
Dec 26  2020,2903,230
Dec 27  2020,8279,257
Dec 28  2020,2778,447
Dec 29  2020,10694,468
Dec 30  2020,24828,377
Dec 31  2020,18700,325
Jan 01  2021,18157,207
Jan 02  2021,3253,231
Jan 03  2021,11720,191
Jan 04  2021,3774,453
Jan 05  2021,19228,420
Jan 06  2021,23817,387
Jan 07  2021,20367,381
Jan 08  2021,18594,381
Jan 09  2021,18935,264
Jan 10  2021,14963,248
Jan 11  2021,3362,407
Jan 12  2021,18536,452
Jan 13  2021,22384,347
Jan 14  2021,19921,401
Jan 15  2021,19962,399
Jan 16  2021,20088,264
Jan 17  2021,15618,213
Jan 18  2021,3506,475
Jan 19  2021,22155,441
Jan 20  2021,25135,420
Jan 21  2021,21442,456
Jan 22  2021,21858,429
Jan 23  2021,22451,295
Jan 24  2021,17301,237
Jan 25  2021,3979,510
Jan 26  2021,20726,417
Jan 27  2021,25259,505
Jan 28  2021,22307,499
Jan 29  2021,21451,510
Jan 30  2021,22890,322
Jan 31  2021,18051,275
Feb 01  2021,4079,536
Feb 02  2021,21900,485
Feb 03  2021,24739,476
Feb 04  2021,22005,476
Feb 05  2021,20776,413
Feb 06  2021,19319,263
Feb 07  2021,18501,243
Feb 08  2021,4051,530
Feb 09  2021,17708,508
Feb 10  2021,23824,404
Feb 11  2021,19766,468
Feb 12  2021,19427,429
Feb 13  2021,19924,257
Feb 14  2021,15527,226
Feb 15  2021,4107,471
Feb 16  2021,18384,410
Feb 17  2021,23478,391
Feb 18  2021,21116,352
Feb 19  2021,22631,409
Feb 20  2021,20994,213
Feb 21  2021,20689,163
Feb 22  2021,4360,363
Feb 23  2021,18829,341
Feb 24  2021,29579,370
Feb 25  2021,23839,354
Feb 26  2021,23655,379
Feb 27  2021,22519,214
Feb 28  2021,18724,125
Mar 01  2021,4413,404
Mar 02  2021,21450,330
Mar 03  2021,25139,389
Mar 04  2021,23723,360
Mar 05  2021,22060,305
Mar 06  2021,21871,187
Mar 07  2021,20482,147
Mar 08  2021,4999,377
Mar 09  2021,21868,316
Mar 10  2021,28438,295
Mar 11  2021,25494,296
Mar 12  2021,23676,254
Mar 13  2021,27927,192
Mar 14  2021,24721,137
Mar 15  2021,6073,357
Mar 16  2021,28130,338
Mar 17  2021,36131,300
Mar 18  2021,32844,327
Mar 19  2021,32911,362
Mar 20  2021,33169,244
Mar 21  2021,28699,170
Mar 22  2021,35259,402
Mar 23  2021,23350,347
Mar 24  2021,31334,305
Mar 25  2021,42831,285
Mar 26  2021,39292,363
Mar 27  2021,39995,201
Mar 28  2021,34736,142
Mar 29  2021,26843,371
Mar 30  2021,26580,348
Mar 31  2021,39327,325
Apr 01  2021,47541,314
Apr 02  2021,43804,304
Apr 03  2021,18571,213
Apr 04  2021,57172,185
Apr 05  2021,11576,197
Apr 06  2021,54241,414
Apr 07  2021,28890,431
Apr 08  2021,14892,374
